"Order" "Family" "Genus" "Species" "Red_List_Status" "Population_trend" "IUCN.NUM" "POP.NUM" "Suit0k" "Suit21k" "DeltaSuit" "LogDS" "Range0k" "Range21k" "DeltaRange" "LogDR" "AdultBodyMass_g" "LogBMg" "GroupBMg"
"RODENTIA" "CRICETIDAE" "Abrawayaomys" "Abrawayaomys_ruschii" "LC" "unknown" 0 NA 0.71003699 0.884729036153672 -0.197452597366013 -0.219964357019666 8 14 -0.428571428571429 -0.559615787935423 62.99 4.14297598363384 4
"RODENTIA" "ABROCOMIDAE" "Abrocoma" "Abrocoma_bennettii" "LC" "unknown" 0 NA 0.88066081625 0.704922247669618 0.249302060136917 0.222585043487279 78 38 1.05263157894737 0.719122666963206 250.5 5.52345892052492 6
"RODENTIA" "ABROCOMIDAE" "Abrocoma" "Abrocoma_cinerea" "LC" "stable" 0 0 0.916549911453826 0.868958010627201 0.0547689304253883 0.0533217196454545 205 138 0.485507246376812 0.395756293981203 193.64 5.26600076507149 5
"RODENTIA" "CRICETIDAE" "Abrothrix" "Abrothrix_andinus" "LC" "unknown" 0 NA 0.913942245326519 0.868724632572845 0.0520505705240059 0.0507411840004622 315 288 0.09375 0.0896121586896871 24.91 3.21526932927409 3
"RODENTIA" "CRICETIDAE" "Abrothrix" "Abrothrix_illuteus" "LC" "decreasing" 0 1 0.861551939583333 0.817391065081768 0.0540266175984532 0.052617703688772 44 39 0.128205128205128 0.120627987788615 47.79 3.86681641259007 4
"RODENTIA" "CRICETIDAE" "Abrothrix" "Abrothrix_jelskii" "LC" "stable" 0 0 0.957135879848462 0.888879348499602 0.0767894219435683 0.0739838562564045 244 155 0.574193548387097 0.453743108373955 34.5 3.54095932403731 4
"RODENTIA" "CRICETIDAE" "Abrothrix" "Abrothrix_lanosus" "LC" "stable" 0 0 0.941983864140714 0.887910711972713 0.0608993127787186 0.0591169567109106 58 18 2.22222222222222 1.17007125265025 27.83 3.3261145755378 3
"RODENTIA" "CRICETIDAE" "Abrothrix" "Abrothrix_longipilis" "LC" "decreasing" 0 1 0.969578216458151 0.781006174054852 0.24144756938894 0.216278093410138 434 119 2.64705882352941 1.29392104098888 38.86 3.65996544394929 4
"RODENTIA" "CRICETIDAE" "Abrothrix" "Abrothrix_markhami" "LC" "stable" 0 0 0.713348189421697 0.894223882434755 -0.202271149950253 -0.225986526178058 12 46 -0.739130434782609 -1.34373474670109 30 3.40119738166216 3
"RODENTIA" "CRICETIDAE" "Abrothrix" "Abrothrix_olivaceus" "LC" "stable" 0 0 0.86973661574835 0.814736098607554 0.0675071562863068 0.0653261698792559 637 609 0.0459770114942529 0.0449513878622663 24.52 3.19948911106801 3
"RODENTIA" "CRICETIDAE" "Abrothrix" "Abrothrix_sanborni" "NT" "decreasing" 0 1 0.890476240625 0.831320523270681 0.0711587356481727 0.0687409930398663 24 15 0.6 0.470003629245736 24.7 3.20680324363393 3
"RODENTIA" "OCTODONTIDAE" "Aconaemys" "Aconaemys_fuscus" "LC" "unknown" 0 NA 0.951488516666667 0.750615184921114 0.267611601498128 0.237134501126391 57 17 2.35294117647059 1.20983792377833 129.95 4.8671497610875 5
"RODENTIA" "CRICETIDAE" "Aegialomys" "Aegialomys_xanthaeolus" "LC" "stable" 0 0 0.873978812307028 0.822302659229904 0.0628432274869686 0.060947607285806 160 153 0.0457516339869281 0.0447358938413915 79.79 4.37939818332019 4
"RODENTIA" "CRICETIDAE" "Aepeomys" "Aepeomys_lugens" "LC" "unknown" 0 NA 0.510546145454545 0.83423823243043 -0.388009173390263 -0.491037985781926 11 22 -0.5 -0.693147180559945 37 3.61091791264422 4
"RODENTIA" "CRICETIDAE" "Aepeomys" "Aepeomys_reigi" "VU" "decreasing" 1 1 0.436150150063346 0.821836144450799 -0.46929792147946 -0.633554472591909 8 41 -0.804878048780488 -1.63413052502447 37 3.61091791264422 4
"RODENTIA" "CRICETIDAE" "Akodon" "Akodon_aerosus" "LC" "stable" 0 0 0.881032999493553 0.861409236823077 0.0227809986608101 0.0225253864962033 126 117 0.0769230769230769 0.0741079721537218 59.99 4.094177881665 4
"RODENTIA" "CRICETIDAE" "Akodon" "Akodon_affinis" "LC" "stable" 0 0 0.878090511279436 0.765385344582425 0.147252841323347 0.137370250928089 28 16 0.75 0.559615787935423 24.89 3.2144661163795 3
"RODENTIA" "CRICETIDAE" "Akodon" "Akodon_albiventer" "LC" "stable" 0 0 0.923245259454292 0.841608480739168 0.0970008983790468 0.0925800002344595 180 98 0.836734693877551 0.607989372219638 25.95 3.2561716096119 3
"RODENTIA" "CRICETIDAE" "Akodon" "Akodon_azarae" "LC" "stable" 0 0 0.961426555827958 0.810910277239113 0.185613973350177 0.170260761379383 544 353 0.541076487252125 0.432481189922646 25.27 3.2296179214001 3
"RODENTIA" "CRICETIDAE" "Neomicroxus" "Akodon_bogotensis" "LC" "stable" 0 0 0.651119368739185 0.699393927700615 -0.069023417346704 -0.0715211549179766 70 75 -0.0666666666666667 -0.0689928714869514 12.99 2.56417983068251 3
"RODENTIA" "CRICETIDAE" "Akodon" "Akodon_boliviensis" "LC" "stable" 0 0 0.892308536026698 0.855283380996804 0.043289926885686 0.0423791113945544 134 79 0.69620253164557 0.52839194748389 27.5 3.31418600467253 3
"RODENTIA" "CRICETIDAE" "Akodon" "Akodon_budini" "LC" "stable" 0 0 0.958455526666667 0.885408817394533 0.0825005441972968 0.0792736836170575 15 9 0.666666666666667 0.510825623765991 26.9 3.29212628660779 3
"RODENTIA" "CRICETIDAE" "Akodon" "Akodon_cursor" "LC" "unknown" 0 NA 0.816422528395389 0.634943412877297 0.285819353091175 0.251396144012999 361 220 0.640909090909091 0.495250411980519 39.84 3.6848714327164 4
